Payment_ID,Claim_ID,Payment_Date,Payment_Amount,Adjustment_Reason,Reserve_Amount,Loss_Ratio
46,132,2025-07-22,2662.34,Duplicate,6663.34,1.45
47,145,2024-11-24,830.90,Overpayment,1763.01,.99
48,658,2025-02-28,1732.21,None,3015.27,.79
49,961,2025-09-08,490.80,Duplicate,4382.10,.55
50,43,2025-04-09,2762.10,Policy Adjustment,3261.88,.67
51,333,2024-12-30,1377.60,Policy Adjustment,9684.48,.84
52,837,2025-07-21,2342.61,Duplicate,1240.89,1.29
53,961,2024-10-06,3905.90,Duplicate,4507.56,.58
54,700,2025-04-07,210.28,Overpayment,5049.58,1.21
55,469,2025-03-14,1258.77,Policy Adjustment,7110.54,.79
56,114,2025-05-22,3219.71,Duplicate,9354.62,1.33
57,480,2025-06-08,1750.34,Policy Adjustment,3670.66,1.09
58,215,2025-08-08,3421.56,Overpayment,1368.65,1.19
59,192,2025-02-15,422.63,Duplicate,4536.30,1.07
60,39,2025-08-16,1494.79,Overpayment,9303.50,.90
61,681,2024-12-30,2103.88,None,1888.50,1.03
62,825,2025-04-10,2983.82,None,5840.72,1.43
63,818,2025-04-16,3263.43,Policy Adjustment,4718.08,.74
64,499,2025-03-03,1177.94,Duplicate,7191.73,1.16
65,647,2024-09-21,.00,Duplicate,9490.12,.40
66,622,2025-07-18,229.87,None,7472.95,1.27
67,60,2025-09-06,402.66,Duplicate,4421.26,.39
68,705,2025-01-19,1707.93,Overpayment,7832.26,1.25
69,414,2024-11-15,1574.90,None,6160.93,.97
70,927,2025-01-25,3489.84,Duplicate,6300.48,1.16
71,820,2025-08-05,1025.73,Duplicate,6301.00,1.17
72,603,2025-04-02,3555.39,None,1573.49,.67
73,785,2024-11-02,.00,Duplicate,4880.23,.42
74,803,2025-09-04,994.91,Duplicate,4400.14,.74
75,167,2024-10-15,1308.48,Overpayment,3215.51,.93
76,317,2025-06-09,2829.33,Duplicate,7088.25,1.25
77,401,2025-02-17,2119.99,Policy Adjustment,2284.70,.68
78,112,2024-12-09,.00,Policy Adjustment,8219.72,.68
79,303,2025-08-01,2489.98,Overpayment,4141.06,.56
80,761,2025-08-14,1310.82,Duplicate,3110.31,.88
81,416,2025-01-04,1010.33,Duplicate,3767.89,.50
82,653,2025-05-22,1816.49,None,2868.81,.83
83,171,2025-04-04,1886.32,None,8562.71,1.50
84,326,2025-06-26,3701.57,None,3378.95,.94
85,274,2025-05-23,1426.65,Overpayment,7508.85,1.30
86,365,2025-01-09,.00,Overpayment,7974.25,.62
87,757,2024-10-28,621.43,Duplicate,4845.60,1.28
88,497,2025-01-22,3279.14,None,6390.40,1.06
89,666,2025-04-26,1035.74,None,7273.65,.33
90,145,2025-01-28,3234.07,Policy Adjustment,3348.65,1.00
91,564,2025-01-15,.00,Overpayment,6073.81,.68
92,984,2025-01-22,2730.48,Duplicate,7263.16,.61
93,980,2025-03-29,943.45,Duplicate,8820.92,.77
94,55,2025-04-07,3421.32,Policy Adjustment,1067.15,.58
95,687,2024-11-05,107.60,Overpayment,6656.27,1.29
96,705,2024-11-24,966.93,Overpayment,4498.00,1.32
97,654,2025-07-24,.00,Policy Adjustment,3375.71,.97
98,397,2024-11-09,1644.49,Duplicate,4652.91,.69
99,800,2025-06-01,586.74,None,1629.20,.54
100,492,2025-03-17,3667.25,None,8353.89,1.00
101,874,2025-06-21,.00,Duplicate,8386.43,1.41
102,340,2025-09-09,1328.58,Overpayment,2757.96,1.32
103,70,2024-12-17,1238.22,Duplicate,1534.26,1.12
104,116,2025-01-29,.00,Overpayment,2906.83,1.36
105,554,2024-09-19,2164.82,Overpayment,5924.59,.74
106,453,2025-01-14,3169.09,Policy Adjustment,8833.21,.96
107,254,2024-12-19,2492.51,Duplicate,8170.44,.40
108,289,2025-03-16,.00,Duplicate,8711.91,.78
109,406,2025-03-16,986.15,None,9191.83,.31
110,610,2025-08-17,2264.64,Policy Adjustment,3372.67,.73
111,179,2025-05-28,361.13,Policy Adjustment,8918.03,1.31
112,245,2025-07-14,2689.19,Duplicate,9513.26,.69
113,610,2024-11-30,3760.47,None,8352.61,1.44
114,193,2024-09-30,3788.04,Duplicate,8664.58,.92
115,266,2025-01-04,151.73,Overpayment,4839.96,1.04
116,354,2025-08-29,1878.23,None,6579.53,1.38
117,604,2024-11-16,.00,Overpayment,4015.61,1.24
118,233,2025-08-17,2073.15,Duplicate,3539.24,.74
119,622,2025-07-09,1624.02,Duplicate,7255.26,1.46
120,301,2024-12-01,1084.99,None,3708.73,.47
121,278,2025-09-02,2075.26,Duplicate,9168.51,.88
122,186,2025-03-21,296.24,None,1561.89,1.20
123,494,2025-04-14,1358.98,Duplicate,7029.77,.54
124,560,2025-06-24,2479.65,Duplicate,5301.07,1.13
125,15,2025-02-11,2906.78,Overpayment,1972.46,1.46
126,127,2024-11-05,698.30,Policy Adjustment,5486.25,.59
127,169,2025-08-08,2616.14,Duplicate,3395.41,.45
128,558,2025-06-16,.00,Overpayment,8473.69,1.05
129,578,2024-10-14,1593.67,Duplicate,4831.57,.75
130,641,2025-01-29,3724.17,Policy Adjustment,9445.05,1.09
131,898,2025-07-17,1720.83,Policy Adjustment,7889.05,.71
132,852,2025-09-05,1426.96,None,7659.89,1.28
133,861,2024-09-27,.00,None,4054.31,1.02
134,225,2025-09-06,603.50,Duplicate,7485.82,1.00
135,231,2025-07-02,481.94,Duplicate,8310.38,.94
136,513,2025-08-13,819.81,Duplicate,3692.56,1.45
137,61,2025-04-17,3494.65,None,1623.70,.32
138,858,2025-01-30,1487.89,Duplicate,4298.03,.94
139,940,2025-05-07,1921.32,Policy Adjustment,9743.58,.70
140,121,2025-01-28,831.38,None,9775.46,1.36
141,87,2025-03-01,589.01,Duplicate,7405.90,.93
142,534,2025-03-20,1954.18,None,3100.72,.63
143,804,2024-11-01,.00,Policy Adjustment,4360.50,.82
144,987,2025-08-08,1861.95,Duplicate,6084.29,.72
145,464,2025-04-03,3889.36,Duplicate,2512.58,1.17
146,889,2025-06-19,139.94,Duplicate,6042.36,1.45
147,455,2024-09-13,2119.83,Overpayment,4068.24,1.20
148,701,2025-02-06,1626.62,Duplicate,1681.01,.35
149,839,2024-12-29,2544.08,Duplicate,2657.71,.42
150,17,2024-11-05,3919.12,Policy Adjustment,7377.01,.54
151,411,2024-09-29,792.05,None,5215.95,.31
152,982,2025-05-20,1580.04,Overpayment,7194.73,1.34
153,781,2025-05-31,.00,Policy Adjustment,7403.58,1.17
154,217,2025-08-04,1418.10,Duplicate,7522.75,.66
155,603,2025-05-28,2951.92,Duplicate,1496.70,.46
156,784,2025-01-11,617.51,Overpayment,6008.79,.39
157,693,2025-07-08,677.68,None,7593.64,1.03
158,316,2025-04-26,195.34,Duplicate,9888.91,.62
159,136,2025-04-18,2061.74,None,4801.39,1.27
160,393,2025-02-05,2188.85,Duplicate,1405.15,1.36
161,2,2025-08-24,3932.28,Duplicate,6680.82,.41
162,298,2024-12-18,727.79,Duplicate,2160.97,1.14
163,312,2025-03-20,3382.64,None,5932.97,1.36
164,305,2025-08-01,3148.51,Duplicate,2465.45,1.11
165,959,2025-07-02,.00,Duplicate,1687.20,.96
166,522,2025-01-10,1515.88,Overpayment,6440.69,1.41
167,370,2025-02-14,1106.30,Duplicate,6635.50,.52
168,848,2024-11-29,2835.27,None,1133.23,1.26
169,685,2025-06-11,667.47,Duplicate,7190.49,.42
170,53,2025-06-09,2064.66,None,4664.05,1.09
171,614,2024-11-29,1036.47,None,4888.63,.61
172,45,2024-09-18,1283.20,None,8411.68,.92
173,788,2025-03-21,2958.69,Overpayment,8710.80,.96
174,994,2024-11-19,3468.16,Duplicate,8897.82,.78
175,22,2025-01-27,3162.46,Overpayment,4031.49,.78
176,322,2025-06-17,404.99,Duplicate,7789.89,.68
177,442,2025-03-12,440.82,Duplicate,4810.42,.45
178,707,2025-07-26,1648.70,Overpayment,6199.25,1.13
179,292,2025-03-31,3655.46,Duplicate,4337.29,1.20
180,544,2025-09-12,2631.40,Overpayment,8464.26,1.28
181,622,2024-10-29,176.53,None,1440.16,1.19
182,237,2025-05-03,1746.70,Duplicate,7883.07,1.04
183,250,2024-11-23,.00,Policy Adjustment,1353.87,.56
184,947,2025-05-21,1625.14,Overpayment,5469.44,1.13
185,721,2024-09-20,216.49,Overpayment,9239.16,.60
186,287,2025-08-27,277.95,Duplicate,6417.41,1.27
187,655,2025-05-12,2201.87,Duplicate,9981.01,.34
188,359,2025-07-12,2752.76,Policy Adjustment,2064.80,1.04
189,478,2024-09-29,3559.69,Duplicate,6710.34,1.41
190,898,2025-04-02,1827.28,Duplicate,1555.02,.41
191,927,2025-09-04,811.43,Policy Adjustment,6676.26,.75
192,896,2025-03-12,.00,Duplicate,4153.93,1.04
193,416,2025-06-19,-1010.33,Duplicate,6898.02,1.44
194,220,2025-06-20,3711.70,Policy Adjustment,2758.47,.63
195,961,2025-03-04,3293.60,None,7940.73,.72
196,320,2025-08-23,2237.51,None,4722.15,1.08
197,585,2025-08-31,.00,Overpayment,8380.76,.46
198,974,2025-01-12,377.81,Policy Adjustment,3870.44,.74
199,205,2025-06-14,3029.85,Duplicate,3228.80,1.43
200,757,2025-04-20,279.23,Policy Adjustment,4332.90,.57
201,657,2024-09-19,3627.23,Overpayment,2224.23,.68
202,850,2025-08-19,.00,Policy Adjustment,2359.13,.96
203,810,2024-12-24,2579.37,Overpayment,9589.69,.66
204,291,2025-01-09,2011.52,Duplicate,3142.56,1.10
205,205,2025-01-22,468.86,None,9338.66,1.34
206,94,2024-12-22,1268.65,Policy Adjustment,2056.02,.60
207,639,2025-08-12,.00,Duplicate,5748.78,1.01
208,72,2025-08-14,3550.29,Duplicate,5543.68,1.38
209,274,2024-11-05,-1018.45,None,4820.23,1.12
210,495,2025-07-22,2238.28,None,5687.01,.81
211,190,2024-12-22,2447.24,None,1435.15,1.04
212,526,2025-05-10,2511.55,None,2357.82,1.13
213,494,2024-09-20,2392.05,Overpayment,4616.38,1.05
214,441,2025-06-29,237.56,Duplicate,6818.55,1.09
215,592,2024-12-14,2481.71,Policy Adjustment,1721.88,1.26
216,919,2024-11-04,2020.28,Policy Adjustment,9557.09,.70
217,337,2025-01-19,3942.47,Overpayment,8320.81,1.44
218,547,2025-07-10,3283.36,Policy Adjustment,2984.58,.62
219,817,2025-03-11,494.66,Duplicate,1945.60,.33
220,584,2024-09-24,1949.30,None,7804.79,1.10
221,859,2025-08-20,2801.80,None,1501.00,.64
222,703,2025-05-16,1048.76,Policy Adjustment,7090.91,1.42
223,554,2025-03-15,-2164.82,Duplicate,9989.96,1.42
224,397,2024-10-18,1905.54,Duplicate,9981.60,.62
225,719,2025-08-22,3898.09,Policy Adjustment,8339.08,1.33
226,912,2024-12-05,3518.89,None,9513.45,.67
227,271,2025-06-11,779.94,Policy Adjustment,9335.43,1.49
228,616,2024-11-07,1094.27,Duplicate,2411.03,1.16
229,72,2025-01-02,-3550.29,Duplicate,7543.49,.45
230,645,2025-01-28,1771.14,None,8484.82,.69
231,191,2025-07-01,2290.38,Duplicate,9319.89,.55
232,337,2024-09-14,2781.37,Duplicate,9745.05,1.25
233,394,2024-11-29,3158.42,Duplicate,7549.43,.33
234,230,2025-02-10,1019.59,None,8822.11,1.42
235,958,2024-10-19,2366.01,Overpayment,1594.11,1.24
236,228,2025-07-28,1296.01,Duplicate,7140.84,1.06
237,435,2024-09-22,3851.90,Policy Adjustment,6091.74,1.44
238,228,2024-12-05,1815.40,Duplicate,5833.99,1.33
239,681,2024-11-24,-2103.88,Duplicate,8979.36,1.22
240,919,2025-09-08,1550.43,Duplicate,2073.01,1.48
241,191,2025-01-15,3635.80,Duplicate,2795.18,.56
242,588,2025-07-10,3325.93,Duplicate,8373.41,1.24
243,520,2025-04-29,555.79,Policy Adjustment,7355.79,.49
244,119,2024-09-17,373.82,None,4134.37,1.19
245,531,2025-06-04,1706.93,None,1707.97,.60
246,856,2024-10-05,1205.03,Overpayment,9022.17,.67
247,996,2025-08-03,.00,Duplicate,1365.26,.69
248,314,2025-07-23,3939.93,Policy Adjustment,5562.43,.67
249,188,2025-07-30,.00,Duplicate,9869.01,1.11
250,505,2025-03-05,3138.57,None,9002.68,1.47
251,90,2025-05-17,2142.11,Policy Adjustment,5237.16,.41
252,109,2024-12-21,1322.68,Duplicate,8564.15,1.36
253,513,2024-10-09,2962.51,Overpayment,7705.93,1.22
254,74,2025-06-05,.00,Duplicate,7521.11,.83
255,242,2025-03-10,442.64,Duplicate,6964.83,1.25
256,515,2024-09-20,2406.92,Duplicate,3155.35,1.05
257,521,2025-03-22,.00,Duplicate,5433.68,1.03
258,354,2025-07-09,3032.94,Overpayment,3365.91,.68
259,775,2024-11-16,3800.19,Overpayment,1540.45,.72
260,998,2025-02-23,2842.99,Duplicate,5507.93,1.41
261,522,2024-12-29,2031.10,Duplicate,2844.86,1.17
262,826,2025-01-14,249.90,Duplicate,5303.71,.65
263,887,2025-04-28,1420.67,Duplicate,2486.31,1.43
264,173,2025-07-20,.00,Duplicate,9300.94,1.01
265,410,2025-06-02,755.72,Overpayment,3756.15,.38
266,978,2025-03-17,891.79,Policy Adjustment,7023.30,.98
267,683,2025-01-16,.00,None,4047.31,.76
268,528,2025-09-05,3423.39,Duplicate,8928.47,1.21
269,7,2025-03-02,1365.20,None,4431.46,.50
270,674,2024-12-31,2775.17,Duplicate,9041.61,.48
271,593,2024-09-23,3189.94,None,2188.42,.83
272,223,2025-04-20,3041.93,Duplicate,9862.37,.43
273,128,2025-04-12,781.76,Duplicate,5163.04,.78
274,49,2025-08-21,1990.22,None,3734.38,.75
275,432,2024-10-06,2518.96,Duplicate,7627.59,.86
276,61,2025-07-23,-3494.65,None,2880.43,.99
277,254,2025-07-18,2354.02,Duplicate,7053.76,.75
278,359,2024-12-23,3005.01,Overpayment,6282.31,.75
279,344,2025-05-29,1848.26,Overpayment,3866.14,.78
280,254,2024-11-06,1656.33,Duplicate,2965.06,1.38
281,809,2025-03-29,.00,Policy Adjustment,2378.58,1.12
282,927,2025-04-06,404.63,None,3752.94,.82
283,900,2024-12-17,1309.74,Policy Adjustment,6235.69,.71
284,937,2025-07-06,2986.47,Duplicate,4366.84,.53
285,179,2025-08-15,2027.47,Overpayment,8450.52,1.17
286,921,2024-09-21,3937.63,Duplicate,5347.31,.84
287,732,2025-05-04,.00,Duplicate,8815.31,.32
288,580,2025-02-10,770.03,Duplicate,9299.98,1.02
289,302,2025-05-24,203.13,Policy Adjustment,4076.99,.54
290,204,2025-05-16,.00,Duplicate,6188.96,.65
291,373,2024-10-20,665.37,Overpayment,7507.28,.92
292,198,2025-08-17,1475.62,Duplicate,9552.25,.64
293,663,2025-04-28,562.63,Overpayment,3262.93,1.46
294,965,2025-04-08,2622.16,None,3927.77,1.30
295,958,2025-05-27,1588.93,Policy Adjustment,6362.76,.78
296,918,2025-02-18,.00,Policy Adjustment,5235.13,.92
297,26,2024-11-10,3298.85,Duplicate,7891.84,.48
298,39,2025-05-04,2349.20,None,8659.11,1.18
299,924,2024-10-13,2436.12,Overpayment,1848.31,1.25
300,838,2025-01-25,2849.45,Duplicate,4416.80,1.30
301,456,2025-05-25,2227.21,None,9177.57,1.30
302,952,2024-12-04,1596.62,Policy Adjustment,7926.38,.96
303,715,2025-05-09,.00,Overpayment,1705.39,1.37
304,540,2024-12-22,.00,None,9660.09,.31
305,333,2024-09-28,1974.74,None,6030.78,.37
306,557,2024-11-05,.00,Policy Adjustment,7125.40,.82
307,947,2025-06-08,1496.34,Duplicate,8844.90,.66
308,548,2024-11-27,3176.90,None,5426.47,.73
309,836,2025-02-05,917.97,None,8564.45,1.04
310,26,2025-04-12,-3298.85,Duplicate,2126.95,.98
311,821,2025-05-21,1139.69,None,7843.01,.50
312,297,2025-08-07,2477.59,Duplicate,7215.21,1.07
313,194,2025-05-27,467.61,None,9697.14,1.19
314,200,2024-12-23,.00,Overpayment,2663.63,.47
315,739,2024-10-04,.00,Duplicate,9015.77,.47
316,779,2024-10-04,1334.51,Duplicate,6013.19,1.38
317,185,2024-11-24,.00,Overpayment,4764.00,1.26
318,36,2025-05-15,1810.12,Overpayment,2288.84,1.45
319,501,2025-07-30,3589.83,None,1420.38,.74
320,299,2025-06-15,3257.21,None,6374.29,.61
321,70,2025-08-28,1379.79,None,3670.82,.97
322,845,2025-02-16,1970.03,Overpayment,6509.50,.76
323,418,2025-07-22,.00,Overpayment,9570.77,1.30
324,267,2025-08-01,1627.52,Duplicate,4621.30,1.07
325,36,2025-05-09,3069.67,Duplicate,6965.67,.60
326,193,2025-06-07,-3788.04,None,5670.39,1.36
327,219,2025-05-04,1952.10,Duplicate,6460.76,1.15
328,219,2025-08-11,-1952.10,Overpayment,7748.89,.77
329,932,2025-01-24,666.61,None,4041.30,.92
330,884,2025-07-10,3996.58,Overpayment,8235.01,.70
331,509,2025-06-17,.00,Duplicate,2265.23,.31
332,840,2025-09-07,3356.50,Duplicate,6061.29,1.40
333,734,2024-12-10,963.23,Duplicate,5605.15,.88
334,334,2025-04-02,879.33,None,5157.78,1.28
335,602,2025-07-03,197.43,Overpayment,6664.01,1.10
336,807,2025-06-24,642.81,Duplicate,7108.57,1.02
337,348,2025-07-20,3032.37,Duplicate,6125.31,1.41
338,963,2025-03-10,1759.01,None,8481.72,1.02
339,18,2025-07-20,2001.26,Duplicate,2226.07,1.20
340,994,2025-06-11,-3468.16,Duplicate,9187.29,1.23
341,966,2025-01-19,570.86,Duplicate,9440.35,1.27
342,588,2025-07-20,-3325.93,Duplicate,3018.41,1.35
343,257,2025-01-24,3688.96,None,3354.24,1.17
344,659,2025-04-20,347.26,None,4336.72,.80
345,517,2024-12-13,.00,Policy Adjustment,5577.15,.58
346,233,2024-11-09,1595.41,Overpayment,9412.26,1.13
347,441,2025-04-01,186.35,Duplicate,5000.51,.38
348,686,2025-06-01,1148.22,Overpayment,3680.28,1.36
349,359,2025-09-01,-5757.77,Duplicate,8807.99,.41
350,682,2025-09-11,2375.35,Policy Adjustment,5475.72,.81
351,893,2025-05-02,2081.89,Duplicate,8148.29,1.11
352,838,2024-10-03,3028.22,Overpayment,5072.64,1.31
353,679,2024-11-14,2906.07,Overpayment,2427.71,.64
354,768,2025-03-13,3367.55,Duplicate,5745.60,.53
355,950,2025-06-14,2386.52,Overpayment,1817.25,.83
356,218,2025-04-16,642.82,Duplicate,7690.76,1.38
357,559,2024-11-28,2509.94,Overpayment,7800.49,.34
358,559,2025-04-02,-1155.30,None,2622.74,1.49
359,759,2025-03-03,1430.39,Duplicate,2849.34,.75
360,432,2025-08-17,2205.97,Duplicate,2432.57,.68
361,795,2025-08-05,.00,Duplicate,7057.50,.39
362,930,2025-09-06,635.07,None,7294.14,.94
363,230,2025-02-22,1524.66,Overpayment,7692.51,.42
364,9,2024-12-16,1593.12,None,5238.20,.46
365,498,2025-02-23,.00,Duplicate,4034.80,1.18
366,197,2025-08-19,543.61,Overpayment,8382.34,.57
367,172,2025-02-09,1424.49,Duplicate,1174.37,.81
368,993,2024-10-01,1693.54,Policy Adjustment,8220.27,.61
369,550,2025-01-03,1310.14,Duplicate,6536.76,1.18
370,605,2024-11-26,689.15,None,5693.29,.44
371,887,2025-03-10,-1420.67,Duplicate,2511.30,.60
372,326,2025-02-20,959.13,Duplicate,6578.99,1.02
373,629,2025-09-07,3919.17,None,2135.21,.59
374,141,2025-08-14,109.53,None,2514.96,.88
375,36,2024-11-22,1467.09,None,7524.76,1.13
376,634,2025-05-07,.00,None,2563.25,1.03
377,411,2024-12-31,1578.22,Duplicate,9395.00,.50
378,49,2025-06-06,-192.11,Policy Adjustment,7894.59,.69
379,124,2025-04-23,1131.49,Policy Adjustment,4332.23,1.08
380,305,2025-08-21,409.59,None,1074.01,1.23
381,699,2025-04-19,1026.32,Policy Adjustment,2171.74,.56
382,563,2025-02-22,1041.40,Duplicate,6772.33,.98
383,16,2025-09-11,239.92,Duplicate,4154.60,.31
384,426,2025-02-21,1998.62,Overpayment,8657.54,.56
385,11,2024-12-22,1447.35,Policy Adjustment,1678.82,.73
386,1000,2024-10-16,2036.64,Duplicate,2212.91,1.44
387,335,2025-01-31,3325.65,None,7011.74,1.49
388,658,2025-03-18,1834.18,Policy Adjustment,6870.96,.35
389,677,2025-03-30,449.68,Overpayment,6744.38,1.29
390,401,2024-09-20,191.14,None,8074.86,.77
391,768,2025-08-29,-3367.55,None,7753.25,.56
392,981,2025-04-02,1344.01,Duplicate,5940.25,.30
393,347,2025-03-06,.00,Overpayment,2455.18,.78
394,764,2025-03-10,.00,Duplicate,7879.67,1.41
395,675,2025-03-24,1653.26,Overpayment,7585.65,1.39
396,706,2025-06-23,3003.71,Duplicate,4715.72,.93
397,692,2025-08-12,.00,Policy Adjustment,9551.22,1.01
398,408,2024-11-02,.00,Overpayment,5374.29,1.14
399,740,2025-01-05,3770.12,None,5647.52,1.43
400,270,2025-07-08,2586.20,None,5685.91,.43
401,738,2025-01-29,2780.13,Duplicate,8961.22,.66
402,50,2024-11-15,3449.31,Duplicate,9311.02,1.14
403,524,2024-12-07,2767.00,None,4830.67,1.18
404,563,2024-12-13,-409.79,Overpayment,2891.76,1.31
405,666,2025-07-04,2480.28,Duplicate,2555.55,1.07
406,840,2025-02-08,3484.61,Duplicate,4204.09,.65
407,961,2024-12-30,-7503.46,None,4401.11,.61
408,589,2025-06-14,786.02,Overpayment,4800.43,1.47
409,778,2025-03-03,236.40,Overpayment,8104.45,.74
410,195,2025-05-31,914.41,Policy Adjustment,9215.61,1.43
411,627,2025-03-09,3053.11,Overpayment,8382.47,1.26
412,213,2024-10-01,1186.02,Duplicate,1179.98,.98
413,395,2025-04-13,.00,Duplicate,1439.22,1.01
414,567,2025-01-11,2161.47,None,3359.12,.58
415,632,2025-05-31,515.60,Policy Adjustment,3543.05,1.08
416,798,2024-10-21,969.31,Policy Adjustment,1202.84,.97
417,584,2025-03-19,2270.66,Duplicate,5794.83,.30
418,378,2025-08-14,1875.83,Duplicate,2025.38,.97
419,841,2025-07-02,2976.75,Overpayment,1671.96,.59
420,452,2025-07-07,.00,None,1516.25,1.34
421,327,2024-09-20,2125.90,None,1817.67,.93
422,544,2025-08-18,223.55,Policy Adjustment,4841.01,1.24
423,364,2024-11-01,1961.88,Duplicate,9383.39,.32
424,866,2025-08-06,3130.76,Duplicate,3843.06,.78
425,927,2025-08-11,2488.69,Overpayment,5837.84,.81
426,849,2024-12-06,2355.18,None,5623.57,1.43
427,449,2025-08-02,2023.59,Duplicate,9010.93,.51
428,698,2025-07-17,2180.84,None,8570.71,.52
429,879,2025-08-28,2611.27,None,5817.14,.46
430,789,2024-10-29,1939.90,Policy Adjustment,3074.10,.93
431,872,2025-03-29,201.79,Overpayment,7600.41,1.11
432,125,2025-01-09,1097.32,Duplicate,7162.01,.71
433,163,2025-05-12,.00,Overpayment,9318.64,1.29
434,285,2024-10-22,2753.46,Duplicate,1761.61,1.30
435,105,2025-08-29,483.61,Duplicate,2892.18,.67
436,178,2025-01-28,405.21,Overpayment,2994.04,.60
437,172,2025-08-26,199.39,None,8711.99,.51
438,910,2024-12-06,1125.55,Overpayment,4161.89,.47
439,346,2024-12-23,.00,Policy Adjustment,6208.73,1.43
440,565,2025-02-04,3402.91,Overpayment,6116.58,1.02
441,58,2025-05-30,2342.13,Duplicate,5217.84,.94
442,525,2024-11-26,2275.69,Duplicate,8718.39,.35
443,257,2024-10-20,-3688.96,None,1209.07,1.26
444,459,2025-01-04,.00,Policy Adjustment,5258.54,.32
445,771,2025-08-25,1032.43,None,7636.28,.30
446,489,2024-10-09,510.39,Duplicate,7328.46,.78
447,13,2024-11-15,2571.95,Policy Adjustment,8065.45,.99
448,832,2025-04-26,.00,None,2258.34,1.33
449,455,2025-03-28,-1368.52,None,6070.79,.88
450,461,2025-08-23,.00,Policy Adjustment,3572.09,.68
451,813,2025-02-05,.00,Duplicate,9342.68,.88
452,25,2024-10-22,2467.61,None,6395.52,.37
453,145,2025-08-27,2376.45,None,9656.32,.51
454,849,2024-12-13,2144.76,Overpayment,4013.01,.42
455,626,2024-12-31,.00,Policy Adjustment,2290.30,.50
456,70,2025-05-24,3816.84,Duplicate,6832.88,.52
457,65,2025-06-20,2740.01,Overpayment,5827.58,1.49
458,669,2024-11-08,331.05,Overpayment,3877.05,.34
459,794,2024-09-16,2354.92,None,3270.62,.89
460,195,2025-01-21,-914.41,None,8714.78,.45
461,733,2024-09-20,3339.48,Policy Adjustment,6197.94,.79
462,977,2025-02-05,1505.59,Duplicate,6898.68,.97
463,376,2025-01-12,1873.94,Overpayment,5808.80,.63
464,139,2025-06-06,652.30,Overpayment,9412.02,.81
465,149,2025-03-23,2876.50,Duplicate,3694.13,.98
466,210,2024-09-22,3619.50,Duplicate,3515.16,.79
467,931,2024-11-10,3607.16,Policy Adjustment,9625.19,.50
468,411,2025-09-07,-1467.09,Duplicate,3640.81,.76
469,206,2025-08-02,638.38,Duplicate,8654.04,.76
470,786,2025-02-04,953.13,Duplicate,2954.17,.94
